config,BL_s0,BL_s1,BL_s2,BL_s7,BL_s42,HD_s0,HD_s1,HD_s2,HD_s7,HD_s42,BL_mean,HD_mean,BL_std,HD_std,delta_pct,hd_seed_wins,dataset_name,term,ds_base
M_DENSE/H/medium,0.7574410435314649,0.7555057688046544,0.7452814503020991,0.7257481127549619,0.7545802918681279,0.7178316371251483,0.7140830606306536,0.7256632805074292,0.7142612445903275,0.6993811213618005,0.7477113334522615,0.7142440688430718,0.01314239766869634,0.009542044693038097,4.4759605895858,5,M_DENSE/H,medium,M_DENSE
ett2/15T/long,1.0850257348643482,1.046550579870238,1.040004641322152,1.0484061627592136,1.062625281499508,1.0154725678500809,1.01171559311233,1.0278315526863409,0.9686919697143695,1.0242827900520872,1.056522480063092,1.0095988946830419,0.01794318893301044,0.0237718507913281,4.441323896605391,5,ett2/15T,long,ett2
solar/H/long,0.9724307245953384,1.0295934912642797,1.0615478542287171,1.1884446857829414,1.0744967022884266,1.0464007749444588,1.0304108386365454,1.0393809093450714,0.987634053309551,0.9890072919754582,1.0653026916319406,1.018566773642217,0.07931413589566934,0.02819059192676827,4.3871022158151725,3,solar/H,long,solar
ett1/15T/medium,1.151170775399883,1.1086871072038182,1.0841924882661107,1.1067022591637576,1.0824958360215189,1.0467001611938485,1.1082134103558905,1.044120786483976,1.0539120352499347,1.0473814266232475,1.1066496932110177,1.0600655639813794,0.02772190221329249,0.027156206877925863,4.209473830374573,5,ett1/15T,medium,ett1
electricity/H/medium,1.191816075162038,1.220115070215037,1.20041757250614,1.19943838884987,1.198804639459457,1.137948355645282,1.1388529337611022,1.1698193364084228,1.1666746701091373,1.1745226402184976,1.2021183492385084,1.1575635872284882,0.010619255137856382,0.017717721077898842,3.7063540406186926,5,electricity/H,medium,electricity
bizitobs_service/short,1.5123522011082362,1.6377654218509463,1.7013508837774676,1.6394630937494588,1.6560924957877443,1.4465929970617368,1.6110794694749595,1.5902488242263622,1.5437736526354102,1.6758442549360997,1.6294048192547705,1.5735078396669135,0.07028664925782986,0.08537582938472847,3.430515175070012,4,bizitobs_service,short,bizitobs_service
bizitobs_application/short,2.438578274893511,2.7704878421510357,2.839873813469374,2.6252652028496666,2.723503770016778,2.4499531957162275,2.4978108010822053,2.5964403711030237,2.521540355947974,2.892495733455465,2.679541780676073,2.5916480914609794,0.1556595334084944,0.17630247074439837,3.2801761050696236,3,bizitobs_application,short,bizitobs_application
ett1/W/short,1.5918179820455525,1.5979924062739148,1.5069304210054248,1.5999721616877014,1.5057011119402337,1.6126877808906717,1.5013802402072425,1.410146570623234,1.4504612474885132,1.5844256767245142,1.5604828165905655,1.5118203031868351,0.049540802692853346,0.08610642375790294,3.1184267385943483,3,ett1/W,short,ett1
bitbrains_fast_storage/5T/long,1.0291047406284175,1.0055258428471985,1.0495542022040183,1.0355490249830366,1.0510495684180727,1.0113431356446043,1.0135498848507074,0.9941548127069152,1.0016658533764409,1.003224419196068,1.0341566758161487,1.0047876211549471,0.01850431653131761,0.007826200949660165,2.839903792916456,4,bitbrains_fast_storage/5T,long,bitbrains_fast_storage
bizitobs_service/medium,3.396917078209829,3.2311127498372603,3.660149539991752,3.930515111577924,3.241014287838735,3.0818470704842924,3.7860048025733706,3.498271152781068,3.126932320118184,3.471733714024485,3.4919417534911,3.3929578119962804,0.3002775803074078,0.29126531509194475,2.83463896257317,3,bizitobs_service,medium,bizitobs_service
ett1/15T/short,0.783659879838263,0.7337039672559343,0.7120744282317769,0.7141026676507932,0.7204182141599479,0.7343048310129401,0.6787629200051403,0.7355312076120253,0.7046590131502077,0.7139221672424828,0.7327918314273432,0.7134360278045592,0.02966476185232166,0.02346913206927515,2.6413781912773873,4,ett1/15T,short,ett1
