series_idx,dataset_idx,dataset,seasonality,oracle_method,raw_MASE,A1_d2_MASE,A1_d4_MASE,A1_d6_MASE,oracle_MASE
26860,0,m4_monthly,12,A1_d2,1.3142410132421756,1.1562662015382073,1.2123200370950395,1.3218453131296788,1.1562662015382073
26861,0,m4_monthly,12,A1_d6,0.8194853514161345,0.8406209224273359,0.8543042007490389,0.8018669731887266,0.8018669731887266
26862,0,m4_monthly,12,A1_d6,0.6099002381435198,0.6546334716880401,0.6810723837037201,0.595720466793376,0.595720466793376
26863,0,m4_monthly,12,A1_d4,0.2276847392752638,0.2539113932796956,0.22311970632613612,0.23163217945102463,0.22311970632613612
26864,0,m4_monthly,12,A1_d2,0.13358997419889704,0.10661894598332139,0.19947911538066415,0.19068131165015192,0.10661894598332139
26865,0,m4_monthly,12,raw,0.16172987819991574,0.18380627170645833,0.2289767402919614,0.2825370424220172,0.16172987819991574
26866,0,m4_monthly,12,A1_d2,0.347257687102406,0.26935141327199863,0.32286276926877117,0.44499457677117005,0.26935141327199863
26867,0,m4_monthly,12,A1_d2,0.25467905309164074,0.2253154695469543,0.24042418200979576,0.29285366420331166,0.2253154695469543
26868,0,m4_monthly,12,raw,0.3410524167580694,0.37533947852608884,0.357547293443216,0.38737441313858006,0.3410524167580694
26869,0,m4_monthly,12,A1_d2,0.29390420837524805,0.26315276163030393,0.3133046466589159,0.31711985641760737,0.26315276163030393
26870,0,m4_monthly,12,raw,0.6575449483325887,0.6981810819980343,0.8531074603999949,0.9423965751912101,0.6575449483325887
26871,0,m4_monthly,12,A1_d4,0.36950608868502305,0.3654673874011393,0.34872581567273625,0.37498020125166054,0.34872581567273625
26872,0,m4_monthly,12,A1_d2,0.4975342000492772,0.496845374131717,0.51085236935512,0.6105240380733381,0.496845374131717
26873,0,m4_monthly,12,A1_d4,0.3661249575796338,0.3897770775889048,0.20770583592038225,0.39528751578107846,0.20770583592038225
26874,0,m4_monthly,12,raw,0.8583199948392628,0.9225777469094422,0.9159325969940774,1.120037432110806,0.8583199948392628
26875,0,m4_monthly,12,A1_d2,0.5103516776901831,0.47934843392257437,0.4985259874913587,0.60649694425034,0.47934843392257437
26876,0,m4_monthly,12,A1_d2,0.6676130213375691,0.6426350339397355,0.675285991669772,0.6856338017052978,0.6426350339397355
26877,0,m4_monthly,12,A1_d4,0.38768698005777774,0.5846473667309261,0.34739326658054964,0.43627112487170494,0.34739326658054964
26878,0,m4_monthly,12,A1_d2,0.3689477417978257,0.3399871807158189,0.45584493568403256,0.44220186600062317,0.3399871807158189
26879,0,m4_monthly,12,raw,0.265683401987367,0.33313380561366046,0.33909267470289933,0.34956955129589745,0.265683401987367
26880,0,m4_monthly,12,raw,0.2990873504112029,0.3049319164880869,0.3333004588211477,0.3484517934377916,0.2990873504112029
26881,0,m4_monthly,12,A1_d4,0.8143674994824801,0.5610077937913884,0.5288504765832974,0.8065507698496295,0.5288504765832974
26882,0,m4_monthly,12,A1_d6,0.8473773292791127,0.7677906478508564,0.7313134853849848,0.6796091323979413,0.6796091323979413
26883,0,m4_monthly,12,A1_d6,0.3372573210653507,0.3621377675298479,0.3653242843862326,0.32892842992873206,0.32892842992873206
26884,0,m4_monthly,12,raw,0.8239494828254671,0.876719166820206,0.8942192670034171,0.8456895185392902,0.8239494828254671
26885,0,m4_monthly,12,A1_d2,0.6819016752628675,0.6134573345969065,0.6907272610298822,0.7283666768458399,0.6134573345969065
26886,0,m4_monthly,12,A1_d2,0.9787888380609524,0.9545853268603481,1.0321171418055481,1.1406209900546955,0.9545853268603481
26887,0,m4_monthly,12,A1_d2,0.9139322763813028,0.7951497004404585,0.9420093349467827,0.9452114825762263,0.7951497004404585
26888,0,m4_monthly,12,raw,0.5846864981606867,0.6045941200545512,0.6489506170920164,0.6821312320881793,0.5846864981606867
26889,0,m4_monthly,12,A1_d4,1.4358844674131774,1.3448124670544148,1.1657048540156962,1.3133172129369788,1.1657048540156962
26890,0,m4_monthly,12,A1_d2,0.2965163632651223,0.2788923766923843,0.3246810912825918,0.3464588720720263,0.2788923766923843
26891,0,m4_monthly,12,A1_d2,1.4630878969492491,1.3892658540819551,1.4922515113907773,1.4255603213178416,1.3892658540819551
26892,0,m4_monthly,12,A1_d6,1.2245833204063918,1.3217233805730908,1.2800485855688397,1.0899078943735943,1.0899078943735943
26893,0,m4_monthly,12,A1_d6,1.1109266624045835,1.1463108785624296,1.2220152067575927,1.1054357534657533,1.1054357534657533
26894,0,m4_monthly,12,A1_d6,1.7888792715729456,1.662052292174254,1.65395386153824,1.4182765654872198,1.4182765654872198
26895,0,m4_monthly,12,A1_d2,0.5420098240968679,0.41366854499808103,0.544573736349106,0.4749087958985901,0.41366854499808103
26896,0,m4_monthly,12,A1_d2,1.0499502030841321,0.8940339419059792,1.0059577674409603,1.1144261165249214,0.8940339419059792
26897,0,m4_monthly,12,A1_d6,1.0067513780900048,0.9740689512874144,0.8579536112128919,0.7596690164697235,0.7596690164697235
26898,0,m4_monthly,12,A1_d4,1.0441190636293418,1.0082263850815174,0.943060612392443,1.1088053714143238,0.943060612392443
26899,0,m4_monthly,12,A1_d2,1.7999886247248413,1.5456883095550555,1.691405392187865,1.621244034111039,1.5456883095550555
26900,0,m4_monthly,12,raw,0.2201647716837706,0.23092066191769856,0.2679661879960646,0.28705780655778973,0.2201647716837706
26901,0,m4_monthly,12,raw,0.4831536052535993,0.5954938250410563,0.5652344440368431,1.0186070185330087,0.4831536052535993
26902,0,m4_monthly,12,A1_d2,0.9733249615400422,0.9145346318471381,0.9652127571956242,1.0729481972022668,0.9145346318471381
26903,0,m4_monthly,12,raw,0.7172064415818588,0.7466653654502842,0.7864283323496578,0.8716596574600634,0.7172064415818588
26904,0,m4_monthly,12,raw,0.9239198833283752,1.0289408218570792,0.9628889190610558,1.0840596890230314,0.9239198833283752
26905,0,m4_monthly,12,A1_d2,0.39325271686743396,0.3711024630423487,0.38170852479901546,0.4391188617730368,0.3711024630423487
26906,0,m4_monthly,12,raw,0.8098468726472662,0.9079410236159912,0.979202698714893,1.03437197225824,0.8098468726472662
26907,0,m4_monthly,12,A1_d4,0.6169575751501735,0.543330853409577,0.49023347825888,0.5507610729753863,0.49023347825888
26908,0,m4_monthly,12,A1_d2,0.5280494659410749,0.5094755173352867,0.7290851091271328,0.6669509789251125,0.5094755173352867
26909,0,m4_monthly,12,A1_d4,0.7033785296346119,0.597384154668107,0.48700703769303916,0.7805004408730356,0.48700703769303916
26910,0,m4_monthly,12,raw,1.702872199133148,2.151489657026707,2.290827956202637,1.714344002822012,1.702872199133148
26911,0,m4_monthly,12,A1_d6,0.6061313512569301,0.5731253840151203,0.5480829208116804,0.4925343196608142,0.4925343196608142
26912,0,m4_monthly,12,A1_d2,0.656852968967564,0.5067253457722015,0.5791368034381397,0.6302057117544239,0.5067253457722015
26913,0,m4_monthly,12,raw,0.5907993753900466,0.6911189002516989,0.7039264589548618,0.7603495969363239,0.5907993753900466
26914,0,m4_monthly,12,A1_d4,1.0092605468916958,1.0329402657868108,0.8524945652231938,1.0457425336882482,0.8524945652231938
26915,0,m4_monthly,12,A1_d4,0.25194925033951376,0.23863829267696343,0.23245550068309379,0.2594094231822236,0.23245550068309379
26916,0,m4_monthly,12,raw,0.13795849884847136,0.20436656641680762,0.1800326908842972,0.2349020103178893,0.13795849884847136
26917,0,m4_monthly,12,A1_d2,0.1770031986698692,0.13485113856288522,0.16020125614937736,0.18026892755302307,0.13485113856288522
26918,0,m4_monthly,12,A1_d2,0.14195845891187336,0.1401720206308299,0.15641850980191657,0.16516872128159257,0.1401720206308299
26919,0,m4_monthly,12,A1_d6,0.9550191327154018,0.8718634101825096,0.846693734272771,0.8411357339186982,0.8411357339186982
26920,0,m4_monthly,12,A1_d2,0.6653805133508912,0.531277541636089,0.5357824525236728,0.7667181796460965,0.531277541636089
26921,0,m4_monthly,12,A1_d4,0.1781718340064148,0.1431830242534268,0.12748595661691783,0.13752160895632085,0.12748595661691783
