dataset,model,eval_metrics/MASE[0.5],eval_metrics/MAE[0.5],eval_metrics/MSE[mean],eval_metrics/mean_weighted_sum_quantile_loss
jena_weather/D/short,bl_official_s0_100k,1.204182314923794,10.164617435515874,394.62142857142857,0.050154441831331976
jena_weather/H/short,bl_official_s0_100k,0.5517229663473836,9.810484055190058,1413.781746031746,0.050222299549097245
jena_weather/H/medium,bl_official_s0_100k,0.9385563587044723,15.853648933531746,3186.1875,0.08155640122093055
jena_weather/H/long,bl_official_s0_100k,1.1669779106875613,21.11740658068783,4837.239682539683,0.10584922875117836
kdd_cup_2018/D/short,bl_official_s0_100k,1.237322468900872,22.216757783928454,3077.640055127502,0.39970281437442917
kdd_cup_2018/H/short,bl_official_s0_100k,0.9576521312825448,23.20474349530262,4776.602239866955,0.3923995854236002
kdd_cup_2018/H/medium,bl_official_s0_100k,1.117825994869374,27.56671733691908,5685.430871066685,0.491926698632598
kdd_cup_2018/H/long,bl_official_s0_100k,1.1111212617952637,26.137729338649294,4536.771823606611,0.533142202036145
m4_daily/D/short,bl_official_s0_100k,3.5166873003161903,187.39799999577545,348160.336746764,0.023143620700788105
m4_hourly/H/short,bl_official_s0_100k,1.0670684208522574,261.8379126409018,1361420.4702093399,0.028539815747288595
m4_monthly/M/short,bl_official_s0_100k,1.032578189052214,599.0420936053241,2045725.1861666667,0.09972227322092325
m4_quarterly/Q/short,bl_official_s0_100k,1.2826438028678573,598.7410774739583,1953654.872,0.08011156930979686
m4_weekly/W/short,bl_official_s0_100k,2.3909337759632625,305.3141739875723,387032.47825155343,0.04443821306816163
m4_yearly/A/short,bl_official_s0_100k,3.835039012129018,1022.9079584530339,4533482.673631061,0.1326308862687119
restaurant/D/short,bl_official_s0_100k,0.6800327829097352,7.10295506152517,139.7599234145886,0.2561356982072774
saugeen/D/short,bl_official_s0_100k,2.857218556747194,12.862633463541666,1066.2688541666666,0.339511206686689
saugeen/M/short,bl_official_s0_100k,0.7379563952926729,12.596859886532737,380.0088123139881,0.3047818170257701
saugeen/W/short,bl_official_s0_100k,1.3419544508911492,16.544277954101563,1267.1111328125,0.41305808742117656
solar/10T/short,bl_official_s0_100k,1.2469052780990608,2.803857169418149,34.88992382337287,0.6350724574713951
solar/10T/medium,bl_official_s0_100k,0.9141246005565175,2.099578140552422,22.87307702941827,0.3806451695654739
solar/10T/long,bl_official_s0_100k,0.9327192657628943,2.147042373941859,22.420801414867192,0.3722074640218051
solar/D/short,bl_official_s0_100k,1.0611251952171128,271.65994525547444,170867.21557177615,0.31642087036297545
solar/H/short,bl_official_s0_100k,0.9902158721427833,12.814329225743133,898.4246742540658,0.39126958826602026
solar/H/medium,bl_official_s0_100k,1.1019103975294995,14.347310295012166,1058.0925790754259,0.4462761807370448
solar/H/long,bl_official_s0_100k,1.1591474027427024,15.165835360908353,1090.2350364963504,0.45275218845741055
solar/W/short,bl_official_s0_100k,1.7751188092569494,1624.5047901459855,4278862.948905109,0.2518315558965904
temperature_rain/D/short,bl_official_s0_100k,1.3849598080194918,5.960937515906547,189.99303475716218,0.5655673682602932
us_births/D/short,bl_official_s0_100k,0.4540880863823686,308.65088541666665,239234.82666666666,0.023790838354713992
us_births/M/short,bl_official_s0_100k,0.6743330358336431,5970.553385416667,54518618.666666664,0.015148597130726638
us_births/W/short,bl_official_s0_100k,1.7542117192849946,1930.1749441964287,6716908.0,0.020855736550881368
