dataset,term,prediction_length,raw_MASE,A2_d2_MASE,A2_d3_MASE,A2_d4_MASE,A2_d5_MASE,A2_d6_MASE,A2_d7_MASE,A2_d8_MASE,A2_uniform_MASE,A2_invvar_MASE,A2_qpool_MASE
LOOP_SEATTLE/5T,medium,480,0.9374952354143125,5.127923449865656,7.67683338208897,8.982459878693035,9.641120313438996,9.901048332503677,9.971984283892331,9.942055057310704,7.617391041717617,3.81550327805278,9.215074044760263
LOOP_SEATTLE/5T,long,720,1.0286610153931521,5.181750182975267,7.73707946555536,9.050664360593682,9.718929150107423,9.999511419043202,10.090297465297285,10.04818515129849,7.693670524397535,4.19204998786708,9.321541083012665
LOOP_SEATTLE/D,short,30,1.0311137296477235,9.950352394394429,14.906426987815678,17.323348702460773,18.489381919293873,19.071709809221026,19.250962101680162,19.24176144159815,14.781037978933993,7.677875849893704,17.742909327195186
LOOP_SEATTLE/H,short,48,1.0476038642741559,5.371401620927542,8.033955350228666,9.462459560164282,10.235728164861566,10.677760346323668,10.939858038349296,11.066364461386977,8.173955228613647,5.817564803375452,9.818288833284495
LOOP_SEATTLE/H,medium,480,1.1251721091228073,5.742615317646413,8.476458827095946,9.920934835303452,10.678019319704116,11.099641648251813,11.368210023370029,11.468004545161437,8.584144295238692,6.059444083787359,10.25499728806986
LOOP_SEATTLE/H,long,720,1.1541392856151536,5.744879133082875,8.640171791494206,10.187884474065969,11.023802694380093,11.490323082531289,11.750219668260085,11.809715991063163,8.755948052954047,6.082767494684878,10.573792443261114
SZ_TAXI/15T,short,48,0.8184770829352261,1.7094779350868805,2.403018969218657,2.7533036820976307,2.926927266127431,2.994425334964806,3.0062707381860583,3.0084013678092614,2.3709892016095266,1.6806696817580717,2.7578096263139025
SZ_TAXI/15T,medium,480,0.8450284742636979,1.8230145819312633,2.5304646727820868,2.8859999306862156,3.0625572585969403,3.1227112924951177,3.13359958225793,3.142098821051667,2.493212634547165,1.7105546336913726,2.876050567288114
SZ_TAXI/15T,long,720,0.7920038795571899,1.7422281477183963,2.4392151397152633,2.7883993839201295,2.95705409118469,3.023244406700453,3.0338624396596265,3.0317639805729324,2.402015646824028,1.7102433475892174,2.7746163935905663
SZ_TAXI/H,short,48,0.6305064737888284,1.8102991653456943,2.708318264970098,3.18044422488388,3.4173010050775607,3.535306032171236,3.5763646653666084,3.6876775401766757,2.730217585055098,1.6431592243012016,3.237762739503124
m4_daily,short,14,3.3124217927212145,63.164655489023595,94.18235822486545,109.71385933740143,117.48333442722996,121.3691667327523,123.32609523440186,124.38491528794351,94.32735512034904,66.65345666018662,113.58439152645661
m4_hourly,short,48,1.8956855480543544,36.148797141893766,54.014088454170185,62.939170510053,67.34573920934308,69.43982300416694,70.42249459961766,70.91483991810108,53.95402708101706,35.05295419608997,64.96794679780086
m4_monthly,short,18,1.058615632220572,9.594231281517214,14.344606942289406,16.731983641109622,17.921869446745088,18.534147381218887,18.83733176457696,18.995128904520584,14.37236721591796,9.820437342367915,17.27527040144742
m4_quarterly,short,8,1.293652063333338,10.542236229920809,15.660336504070354,18.223278958930972,19.522312480723315,20.16903088618291,20.512024326071785,20.638100544215142,15.69401312376391,10.727250615063808,18.80796381666723
m4_weekly,short,13,2.570244904985195,41.23118439824034,61.30559952875669,71.37517765143242,76.37651376821809,78.91557060475414,80.21383789467431,80.90868347221513,61.42363110418049,44.99230347976097,73.82592317204973
m4_yearly,short,6,3.2427565069443234,15.756840233840354,23.006059760414168,26.82230370631093,28.893016076150325,30.028369380221477,30.65468333151364,31.059361145142912,23.419285700767567,16.787376463620312,27.7258856778792
M_DENSE/D,short,30,0.9160535304720714,4.179523823237556,6.120982733001387,7.104808309425672,7.5759775932376305,7.778579778586562,7.900636977011056,8.002895488804333,6.11566904544213,4.201603859499859,7.11877902382883
M_DENSE/H,short,48,0.9572917802276238,2.416203279026163,3.4582734301012903,3.9578400663756033,4.171893802890181,4.2188317316111466,4.16894618288529,4.082376384412482,3.325730924445811,1.8160935220240793,3.726969858840906
M_DENSE/H,medium,480,0.8652835930339736,2.4069027633941986,3.4553072545541137,3.9316162390519716,4.129862725001932,4.15843535662736,4.080131394120026,3.884903517132851,3.274672359722991,1.8614469144628667,3.665845500663129
M_DENSE/H,long,720,0.896902022023395,2.458362702458093,3.5504338965917377,4.022059049307917,4.198922302247784,4.201349245540018,4.075790025398647,3.8221487264859113,3.3021285796310664,1.8852417955769416,3.7059483851339885
