dataset,model,eval_metrics/MASE[0.5],eval_metrics/MAE[0.5],eval_metrics/MSE[mean],eval_metrics/mean_weighted_sum_quantile_loss
jena_weather/10T/short,official_moirai2_lb,0.315433038587266,7.481215122767857,1263.0708333333334,0.035958064109339376
jena_weather/10T/medium,official_moirai2_lb,0.6510283884032342,11.685408775252526,1942.8152958152957,0.05866809536067814
jena_weather/10T/long,official_moirai2_lb,0.7330640964586025,11.603592096560847,1825.4753968253967,0.059615577750141334
jena_weather/D/short,official_moirai2_lb,1.0152313446999433,9.14198753720238,341.45183531746034,0.043448419987719894
jena_weather/H/short,official_moirai2_lb,0.5364533956703842,8.453888627819548,1116.1164369256473,0.04214661885254588
jena_weather/H/medium,official_moirai2_lb,0.8172689180288374,10.796602182539683,1340.6401785714286,0.05496005330319397
jena_weather/H/long,official_moirai2_lb,1.0387606601225576,11.642722800925926,1280.7484126984127,0.05801538075119103
kdd_cup_2018/D/short,official_moirai2_lb,1.2292146348633066,21.864035831058,3017.621296607986,0.38564287723921886
kdd_cup_2018/H/short,official_moirai2_lb,0.9616100280333577,23.29069433078243,4845.088113720035,0.39692365042007044
kdd_cup_2018/H/medium,official_moirai2_lb,1.0749870395200078,25.985729871035968,5229.697509357462,0.45529725159604173
kdd_cup_2018/H/long,official_moirai2_lb,1.0268531852288942,24.161512009245318,4137.48959608861,0.48164100165466217
m4_daily/D/short,official_moirai2_lb,3.071015266650225,162.80653494541892,370240.10625570314,0.020056127966074897
m4_hourly/H/short,official_moirai2_lb,0.8085441068266531,234.19721215781,1835444.766505636,0.023612585017696208
m4_monthly/M/short,official_moirai2_lb,0.9396260645139131,570.5354032841435,1941434.3400648148,0.09472243187847355
